[0.4492340683937073]	первые упоминания о строении человеческого тела встречаются в древнем египте.	в древнем египте
[0.9827316999435425]	в xxvii веке до н. э.	в xxvii веке до н. э.
[0.6582001447677612]	ответ: costar	costar
[0.36020657420158386]	теория дрейфа материков была отвергнута после смерти альфреда вегенера.	теория дрейфа материков
[0.3840349018573761]	"не уступают по красоте изделиям из монолитных камней."	изделиям из монолитных камней
[0.5682928562164307]	дифтонги делятся на две группы: оральные и назальные.	оральные и назальные
[0.24007049202919006]	"восходящие дифтонги со слабым гласным /i/ и /u/ встречаются реже, и многие из них могут быть квалифицированы как хиатусы."	как хиатусы
[0.9457553625106812]	на предсказуемость швейцарского правового порядка.	на предсказуемость швейцарского правового порядка
[0.08646603673696518]	"самое главное, что удалось предотвратить долгий процесс с неочевидным исходом."	деталями соглашения
[0.3484424352645874]	каждый судебный округ имеет суд первой инстанции, состоящий из палаты по гражданским вопросам, палаты по уголовным вопросам, палаты по молодёжным вопросам, трудовые суды и торговые суды.	суд первой инстанции
[0.2996481657028198]	судебная власть организована в форме пирамиды, основой которой в гражданской юстиции является мировой суд и в уголовной юстиции — полицейские суды, имеющиеся в каждом судебном кантоне, а верхушкой — кассационный суд.	в форме пирамиды
[0.21911942958831787]	лазеры используются и в военных целях, например, в качестве средств наведения и прицеливания. (из контекста)	лазеры
[0.1572066843509674]	сверхкороткие импульсы лазерного излучения	лазерное
[0.9592111706733704]	эффективность разработки	эффективность разработки
[0.48773467540740967]	"речевые произведениями (статический аспект речи — предмет лингвистики текста)"	статический аспект речи — предмет лингвистики текста
[0.33520665764808655]	развитие мозговой массы продолжается до 20 лет (из контекста).	до 20 лет.
[0.23021534085273743]	головной мозг состоит из 5-ти отделов: переднего, промежуточного, среднего, заднего и продолговатого мозга.	мозговые желудочки
[0.7433739900588989]	"виннипегская всеобщая забастовка 1919 года"	виннипегская всеобщая забастовка
[0.2901653051376343]	случайные мутации постоянно происходят в геномах всех организмов, создавая генетическую изменчивость.	мутации
[0.2788252830505371]	длина днк в развернутом состоянии более 1 миллиметра.	более 1 мм
[0.2783050537109375]	дж. м. кейнс стал активным приверженцем аксиоматики колмогорова в 30-х годах.	аксиоматики колмогорова — р. фон мизеса
[0.31149598956108093]	ответ: в трактате "вероятность" джона мейнарда кейнса (1910 год) была поставлена под сомнение действительнозначность вероятностной меры.	в его трактате вероятность (1910 год)
[0.342064768075943]	карл неоднократно вторгался в бретань.	в бретань.
[0.21770980954170227]	до 1917 года в лондоне действовало отделение московского народного банка (цитата из контекста).	до 1917
[0.3084027171134949]	учёные и студенты уппсальского университета требовали оставить наследие линнея на родине.	учёные и студенты уппсальского университета
[0.37620142102241516]	джеймса эдварда смита.	молодого английского натуралиста джеймса эдварда смита
[0.9556591510772705]	в цитоплазме	в цитоплазме
[0.4759732484817505]	геномы митохондрий отличаются по размерам.	отличаются по размерам.
[0.28769922256469727]	горючий воздух был исследован генри кавендишем в 1766 году.	в 1766 году
[0.946252167224884]	кризис 1930-х годов.	кризис 1930-х годов
[0.3513801693916321]	луиджи пальмиери.	пальмьери
[0.4684205651283264]	луиджи пальмиери.	итальянец луиджи пальмьери
[0.8943971991539001]	"в течение 5—7 дней"	в течение 5—7 дней
[0.30431443452835083]	толкин занимал должность профессора англосаксонского языка роулинсона и босворта в пемброкском колледже в оксфорде.	должность профессора англосаксонского языка
[0.8569912910461426]	"наличие девяти глагольных времен и четырех наклонений"	наличие девяти глагольных времён и четырёх наклонений
[0.4045059084892273]	"термин computer science (компьютерная наука) появился в 1959 году."	в 1959 году
[0.8608087301254272]	"в 1921 году"	в 1921 году
[0.34032654762268066]	смартфоны blackberry, появившиеся в 2002 году, были ориентированы на работу с электронной почтой.	на работу с электронной почтой
[0.31567490100860596]	"присутствие же венозных клапанов определяет направление движения крови при этом — от артериального конца к венозному."	направление движения крови
[0.1975921094417572]	уайльд с его погоней за изысканными ощущениями, с его гурманским физиологизмом чужд метафизических стремлений.	уайльд
[0.40005582571029663]	началом xii века	xii века.
[0.2387218475341797]	ответ: "первое письменное упоминание названия чешского языка на латинском — lingua sclavonica — датируется началом xii века."	lingua sclavonica
[0.5455212593078613]	работает в повторно-кратковременном режиме.	в повторно-кратковременном
[0.2854307293891907]	для работы пневмооборудования сжатый воздух производится компрессором.	сжатый воздух
[0.48633038997650146]	пневмооборудование располагается под кузовом и внутри него.	под кузовом и внутри его
[0.5187630653381348]	"экономический подход, применяемый в этих исследованиях, доказывает свою плодотворность."	доказывает свою плодотворность.
[0.43958455324172974]	заключительной части.	заключительной
[0.2631322145462036]	ответ: от лат. institutio — обычай, наставление, указание, порядок.	institutio
[0.3612942099571228]	"такие группы, как the nice и moody blues, начали сознательно комбинировать рок с европейской классикой."	the nice и moody blues
[0.5640714764595032]	по инициативе джорджа мартина.	по инициативе их продюсера джорджа мартина
[0.8869684934616089]	к протопрогрессиву	к прото-прогрессиву 
[0.8158794641494751]	средневековая, во многом церковная культура.	средневековой, во многом церковной культурой
[0.7701156139373779]	на мастеровых и ремесленников, торговцев, банкиров.	мастеровых и ремесленников, торговцев, банкиров.
[0.462554395198822]	армянский алфавит был создан в 405 году.	в 405 году
[0.5158449411392212]	армянский алфавит был создан учёным и священником маштцом.	учёным и священником маштоцем
[0.367756187915802]	фильм "расёмон" был снят по рассказам рюноскэ акутагавы "ворота расёмон" и "в части".	по рассказам классика новой японской литературы рюноскэ акутагавы ворота расёмон и в чаще 
[0.29974985122680664]	оштрафован за ненадлежащую рекламу пива (повесил на стене магазина плакат с изображением креветки).	за ненадлежащую рекламу пива
[0.14531055092811584]	чтобы получить слово "такси" из слова "хлеб", необходимо сделать 4 ошибки.	4
[0.5730809569358826]	ответ: 610 метров.	610 метров
[0.44216686487197876]	"доломитовые залежи могут возникать также при воздействии на известняки гидротермальных растворов, подземных или поверхностных вод."	при воздействии на известняки гидротермальных растворов,
[0.31389757990837097]	магнезит образуется преимущественно в гидротермальных условиях и относящихся к среднетемпературным гидротермальным месторождениям. (из контекста)	преимущественно в гидротермальных условиях
[0.29483968019485474]	"этот хвост действует наподобие молекулярного шприца, прикрепляясь к клетке-хозяину и затем впрыскивая в неё генетический материал вируса."	наподобие молекулярного шприца
[0.7268855571746826]	белковые хвосты или сложные наружные стенки (из контекста)	белковые хвосты или сложные наружные стенки
[0.6698179244995117]	"генетический материал вируса" (из контекста)	генетический материал вируса
[0.23313692212104797]	шестигранное (из контекста: "шестигранное основание с отходящими от него хвостовыми белковыми нитями")	шестигранное
[0.47984760999679565]	комплексный капсид состоит из икосаэдрической головки, соединенной со спиральным хвостом. (из контекста)	из икосаэдрической головки, соединённой со спиральным хвостом
[0.6182660460472107]	выделяют два вида отростков: дендриты и аксон.	дендриты и аксон
[0.3161401152610779]	ответ: 2004 год (из контекста: "предыдущее расширение территории города производилось на основании прежнего генерального плана от 2004 года").	от 2004 года
[0.9804831743240356]	кнопочник	кнопочник
[0.11873351782560349]	"в первой половине xix века активно развивается сольное исполнительство на тромбоне".	в эпоху романтизма
[0.4306439161300659]	демонетизация началась еще в античности.	в античности
[0.2074529528617859]	ответ: "выходящий из турбины отработанный пар поступает в конденсатор."	в конденсатор
[0.5844241380691528]	ответ: "обозначены цифрами от 0 до 9".	от 0 до 9
[0.6896688938140869]	где хранятся границы зон, количество секторов на дорожку для каждой зоны и таблицы переназначения секторов? - границы зон, количество секторов на дорожку для каждой зоны и таблицы переназначения секторов хранятся в пзу блока электроники.	в пзу блока электроники.
[0.4195420742034912]	"под влиянием всё сильнее и сильнее изменяющихся условий жизни и культуры"	изменяющихся условий жизни и культуры
[0.4074106812477112]	общение с белинским сыграло важную роль для духовного становления молодого писателя гончарова.	имело важное значение для духовного становления молодого писателя
[0.3196679949760437]	стратегическая архитектура информационных технологий в организации - одно из основных направлений консультационных услуг gartner.	стратегическая архитектура информационных технологий
[0.35713523626327515]	на рынке информационных технологий gartner предоставляет консультационные услуги инвесторам.	на рынке информационных технологий
[0.14328311383724213]	гартнер предоставляет консультационные услуги по оптимизации бюджета на информационные технологии, выбору поставщиков ит и стратегической архитектуре ит в организации, а также прогнозированию развития технологий.	консультационные
[0.47653621435165405]	дыхание животных - медленное горение.	медленное горение
[0.9370479583740234]	из-за мирового счастья.	из-за мирового счастья 
[0.39909711480140686]	функционируют только как расчетные единицы, при определенных условиях они могут быть обращены в национальную валюту.	как расчетные единицы
[0.7140172123908997]	адриен мари лейжандр (1805 год)	адриен мари лежандр
[0.5914660096168518]	в зависимости от величины сигнала	от величины сигнала
[0.28108376264572144]	"переменное магнитное поле из зазора головки воздействует на ферромагнетик поверхности диска и изменяет направление вектора намагниченности доменов в зависимости от величины сигнала."	перемещение доменов у зазора головки
[0.36758512258529663]	оборот углерода строится на использовании изотопов углерода, которые распределяются в атмосфере и гидросфере планеты, вовлекаясь в цикл жизни растений и животных.	вовлекаются в оборот углерода живыми существами.
[0.4110953211784363]	принцип возвращения к истоку сформулирован проклом в "первоосновах теологии".	в первоосновах теологии 
[0.2367028295993805]	"возвращением творческой потенции обратно к благу, благодаря волевому преодолению оторванности от истока."	постулатом восхождения к единому 
[0.951747477054596]	в xviii в.	в xviii в.
[0.4457736611366272]	старый центр города до сих пор сохраняет свой самобытный колониальный облик.	старый центр города
[0.21311388909816742]	"легкое дыхание" (русское слово, 1916, № 83) - одно из последних произведений ивана бунина перед революцией.	рассказ лёгкое дыхание 
[0.6753875017166138]	"две команды из трёх конькобежцев" (из контекста)	две команды из трёх конькобежцев
[0.32613104581832886]	"смена дорожек происходит каждый круг."	каждый круг
[0.3569985330104828]	образовательная, воспитательная. (из контекста: "материалы, несущие образовательную, воспитательную функции.")	образовательную, воспитательную
[0.5524863004684448]	русско-нидерландской торговле уделялось особое внимание.	русско-нидерландской торговле
[0.27678388357162476]	ответ: в 1575 году была создана первая памятка по товароведению.	в 1575 году
[0.9416872262954712]	купцами-новгородцами.	купцами-новгородцами
[0.15010784566402435]	карты системы chipknip могут использоваться для платежей в паркоматах, магазинах, транспорте и т.д. (из контекста)	chipknip
[0.33658021688461304]	для кипячения воды в котле, что создает пар под давлением. (из контекста)	для кипячения воды в котле
[0.4180319905281067]	паровой двигатель	паровой
[0.3575126528739929]	пар проходит через дымовую коробку перед тем как выйти через трубу.	через дымовую коробку
[0.3283841609954834]	ответ: межклеточные контакты нейронов называются синапсами.	синапсы.
[0.24120531976222992]	агентство стратегических инициатив является одним из основных государственных институтов поддержки стартапов (контекст).	стратегических инициатив
[0.2554202079772949]	выработка единой типологии и классификации митозов осложняется целым спектром признаков [~ 9].	целым спектром признаков
[0.2795255780220032]	представителями родов grantia и sycon могут служить примерами губок.	grantia[en] и sycon[en]
[0.2918422818183899]	ответ: "понятием йога" [44]	 йога 
[0.9340073466300964]	для просушки дорог после зимнего периода.	для просушки дорог после зимнего периода
[0.29662996530532837]	на том, чтобы выявлять ограничение и управлять им для увеличения скорости генерации прибыли.	выявлять это ограничение и управлять им
[0.7005963325500488]	нацеленность на взаимовыгодные решения позволяет "повышать уровень взаимодействия и мотивацию персонала".	повышать уровень взаимодействия и мотивацию персонала
